id,name,artist_popularity,followers,genre
03ilIKH0i08IxmjKcn63ne,Drake Bell,47,382668,
03jdffgDxnp6cLJQVwkA3a,lil wxrld,0,44,
03JeySBzQD5VZKRNSEtxKL,Future unk,9,32,
03JplRxWHu0ohQNizcEKXp,Ryini Beats,23,6355,
03JYfsI9Ke7JFuxHD239m2,Ron Gelinas,32,2701,
03kA89I4rmsLuUFiZVlZD9,Lil Dia,18,1218,
03KLzHVK6la8dVop1iVI5x,Natalia Przybysz,46,92866,poezja spiewana
03kNDjEbPPFJYI01GLXGct,CRSB,26,11174,jawaiian
03LOHqNsgWbNWqz9Ant9eK,bear bear & friends,38,26669,
03m9EXQmh0lJYKIMcNl81O,YRT Rell,0,27,
03MbnQnCTCSiRWUbmEgo2r,The Earth Song,45,135,rain
03mz3G1gu1GPNgAWY4qR2w,SikTh,27,68440,djent
03MzZLGQ3dZIaEfyBoZ9Vb,J P Lloyd,10,285,
03NGTxGfbNe7iADhEri9hj,J4Shoota,16,18,
03ODvxPFTYW0NS7wnXclYG,Ogi Feel the Beat,33,5870,
03oOlEpte1s5miGdV2gWdn,Toby Meegan,0,61,
03ovoqlxlJGOrsP537cZpX,sxdboy,16,394,
03oXWgLBjltVmgiBtZM42P,Miguel Silvas,0,28,
03p20HCXd79cDZrYYcDUF8,Raphael Ekeed,23,286,
03P2wpm4TayrgcU5vj932C,John Louis Kluck,0,14,
03pEKz09CycmEd5s2itQKa,Acti,17,3208,classic hardstyle
03Q3pQfsPxZJawDFtkB5V5,MAXWELL HöUSE,0,7,
03Q9VgLl0Oc2G36Tv51CMP,Decadentes De Culiacán,22,957,musica sinaloense
03QVQbqp8si4H0TOAEXWgh,Müg,0,70,uk diy punk
03r4iKL2g2442PT9n2UKsx,Beastie Boys,66,2685681,alternative rock
03RTRLngWqQvEQdDVNmx7O,Kamikaze CMI,1,53,
03rvyN2CQzTLbXMQZ3e9UN,Peach on a beach,4,28,
03Te3QvjUMxXcyPKV3Fkwp,北沢強兵,23,5489,
03Tk5nZMEoqaWZOXoiN7Km,Sleepy Tom,60,8751,
03U2hi0d2qahOADWNZAnhw,TBx,0,11,
03ufBASeBnflDVyAnl6l0e,Maciel Miller,1,120,
03vcsySpQ2gtPoaPeJRhb9,Georgia Gets By,21,1656,
03vFyzq0K2q4SDW8yYdzoL,Blackin Fly,0,3,
03vXx9h5qrLGL3Vo8JSBq5,Herman José,22,5182,classic portuguese pop
03vXytMao2gfD5vB6I0cxS,Lil Kemo,2,868,chicago bop
03xAfc1qMlPn3JZ0YRgpss,Johnnylocc,0,5,
03zDyNxL6JyupUWBANGwIw,Gunzo XL,0,15,
041bGV4zbu0w4Zag8Oa6pR,HRISUN,2,9,
041xe6r7nfeqMq04XKhwUc,Snoop300,9,384,
042m6VKalaggNkpJS5lI9u,YGO Steppa,1,312,
043wCmVe6jnhUVhxO7ZrRe,Rick Stein,12,626,
044AAkh5RMD8whRO3xWG05,Vineet,14,23514,
044MAedvuCSaTE5QtWxAXr,Lej,4,42,
045FVvBNAc7VnPYvzAJpO1,Gustavo Mota,34,81506,brazilian edm
046QcFem03fMvN0xqbJyGZ,Future Leo,25,1453,
047IxawvSx822Om5TV7Mn9,Seconds & Surgeons,0,1,
047MRd7bndVM4oh2gV0Mri,Jerry Cortez,16,578,
04a6mc5vUtj2pMzteToeH7,K Suave,49,58725,rage rap
04afWRg7KofT5Ae0W1kjpU,Shanneyganock,33,6916,canadian celtic
04byNS8WxNRTr1Fy2oQPrq,Criss & Ronny,41,57578,vallenato moderno
04cHOyllPhPDHLuHrI2Mbn,Guss011,0,32,
04CM97hjzZvlzAOOHzh59o,Miranda Rae,6,1228,
04CU9KKc9CcSWgvk2IBnyv,Trell,1,1603,
04cYIDA2ukgyzmSbsa6ujc,WhoCreatedUs?,33,2438,
04d81XptQA11pLPxMXLxC9,Temple One,41,14299,progressive house
04dlz6CZCHGQ9CZg2CZnqz,2 Chainz Tribute Team,0,78,
04ei5kNgmDuNAydFhhIHnD,Landon Cube,55,372208,pop rap
04elVLlCGUZG1xsd4pzwIc,K Smooth,0,10,
04fbKJ4a6j2YglTWP5t1LZ,Shawn Williams,1,412,
04fzYkCptltCeyBAjpQ5fd,Templar,6,223,rap inde
04g0rIqZSFolZSZ3n6g4wV,JenMarie,3,215,
04gDigrS5kc9YWfZHwBETP,Maroon 5,83,41996696,pop
04gmavj8AvfiIzlJFAJibX,Saint Loso,0,13,
04GWnk4XO3EHLcWuwtqyHL,Chefe Coringa,28,41066,brega funk
04H72GrQOTnYoRpLBKq7iD,Royalty Rulez,0,21,
04HAdZKSG8bBWGJ9Yo9hfh,Hendrix,15,1102,folclor afrocolombiano
04HqRx07Bv9gh7rsrMTqs7,Miss Li,57,274873,classic swedish pop
04i9UK36PxzdHLfrgi60Q7,2013 M I C Music,4,356,
04InG6ZZ0PN5xtga7xpLWG,Ellie Cocks,2,987,
04jASQS9Uged8l0nHoCBsq,Megan Davis,5,10,
04jj7dljPI0ixtNsz2pXWK,Pig&Dan,37,87661,dark techno
04JwcTzHZ5cnRH1FG1GYME,SkyWalker,0,9,
04ka9403wgTxmWFMY1PD5t,Judith Hill,34,52225,neo soul
04kH2QoBFD1iW0m7SCRk5W,William Jay Stein,14,158,
04kspIhCRDUYGqKZRnLkYi,La Brecha el Arabe,26,158,
04ksZhj1aDhJ2ETk2Wr8an,Thyrsis,0,78,
04m3oUGzjO3EJTQidFzTgM,Nora Van Elken,59,78039,tropical house
04mb4Ep1GQtmADkaIzlNht,Carrie McDowell,0,133,
04mJjT5cUTgh48V42KlL1U,YGIG,22,5539,p-pop
04mwHdsbf5QYDOpktMFpSa,Universal Production Music,36,2175,
04nWjOBHWrVkvyjK4PXRNy,The Sweet Enoughs,34,22985,
04nwKQOLnBRDdWWO8vA1CY,Miguel Chk,11,14,
04O00MEN0lHEKWTwRjb1nS,THRDL!FE,43,4111,uk dance
04oxdTMr3xwALrBleBZquu,GoonBoy,1,2073,
04PzvCysfbstvtLTjROZCx,H E R O,1,29,
04qaKnrL6BgL2Q9viRi1Lf,EA Sports Madden NFL,24,2209,
04qQyH5OxMxT4lKYenK1CE,Liyah Dalani,26,3011,high vibe
04QVsfRSBziAjTChZ19bJ8,Xa Roonus,2,0,
04rhebO91K6xoiXE0XuDkh,DJ Hazard,32,58388,bass house
04rOJJh4mLlRvlO4W1TjgJ,Purple Gorilla,0,4,
04RwMkLmpfgqCnWtS4DeN2,Ariana Delawari,5,1038,
04RXSUzDTSz2OIOvlAYVAv,Rosabel,19,2707,circuit
04s8e67IXD47W8Fe9zU6lH,Ayushman Sinha,4,418,assamese hip hop
04SFpT4eaMLGgNUtAc7RzA,Calvin Austin,0,56,
04sHi5fCNMeMkn8QmR0FtM,- Roty -,1,36,
04Sif7zzcEJZhYZy5BW3gZ,Dafuniks,48,32696,jazz rap
04SL0zNZFTo7yu16KQEsNA,George Shadap,19,2028,khasi pop
04SSCPmDpnvUJUIlHDU18H,Shooting Genus,0,12,
04sxCSFGm2JUFL4qXTc530,Diamond String Orchestra,10,667,
04T7QEqAiQBW12loi1g2CO,Vox Freaks,26,2642,
